EXP_DATE,EFF_DATE,CORP_NAME,TRADE_NAME,LICENSEE,TAXKEY_NUMBER,HOUSE_NR,SDIR,STREET,STTYPE,ALDERMANIC_DISTRICT,POLICE_DISTRICT,LIC_TYPE,License Type Full Name,TOT_CAP,ROOM_CAP,TAXKEY
7/22/2020,7/9/2019,"J & S Malone, LLC",Malone's on Brady,"JOSHUA L MALONE, Agt",3590666000,1329,E,BRADY,ST,3,1,BTAVN,Class B Tavern License,80,,3590666000
6/30/2020,6/18/2019,"M P ON BRADY, INC",CLUB BRADY,"MICHAEL D LEE, Agt",,1339,E,BRADY,ST,3,1,BTAVN,Class B Tavern License,143,,3590667000
3/7/2020,6/4/2019,"NOMADIC VENTURES, INC",NOMAD WORLD PUB,"MICHAEL J EITEL, Agt",3590682000,1401,E,BRADY,ST,3,1,BTAVN,Class B Tavern License,99,,3590682000
3/22/2020,2/27/2019,"MILAP, INC",SMITH BEER & LIQUOR MART,"AMARJIT S KALSEY, Agt",3590680000,1413,E,BRADY,ST,3,1,ALQML,Class A Malt & Class A Liquor License,,,3590680000
7/30/2020,7/9/2019,"CASABLANCA RESTAURANT, LLC",CASABLANCA RESTAURANT,"ALAA I MUSA, Agt",3540755100,728,E,BRADY,ST,3,1,BTAVN,Class B Tavern License,365,"310 Inside, 55 Balcony",3540755100
6/15/2020,5/29/2019,SATORI RESTAURANT LLC,THAI-NAMITE RESTAURANT,"SARINLADA PANYASOPA, Agt",,932,E,BRADY,ST,3,1,BTAVN,Class B Tavern License,,,3540794000
5/8/2020,4/16/2019,"FOUNDATION BAR, INC",THE FOUNDATION,"CHARLES JORDAN, Agt",3140025000,2718,N,BREMEN,ST,3,5,BTAVN,Class B Tavern License,80,,3140025000
9/15/2020,9/4/2019,CAFE CORAZON INC,CAFE CORAZON,"GEORGE MIRELES, Agt",2810926000,3129,N,BREMEN,ST,3,5,BTAVN,Class B Tavern License,49,"Interior capacity = 49, outdoor patio capacity = 20",2810926000
9/24/2020,9/4/2019,"MILWAUKEE SPORTSERVICE, INC",MILLER PARK,"THOMAS N OLSON, Agt",4220009000,1,,BREWERS,WA,10,3,BTAVN,Class B Tavern License,,,4220009000
7/31/2020,7/9/2019,"TGI FRIDAY'S, INC",FRIDAY'S FRONT ROW SPORTS GRILL,"Raeann K Van Quill , Agt",4220009000,1,,BREWERS,WA,10,3,BTAVN,Class B Tavern License,,NA,4220009000
5/19/2020,5/7/2019,Milwaukee School of Engineering,Milwaukee School of Engineering,"Darryl L Anderson, Agt",3921353110,1000,N,BROADWAY,,4,1,BTAVN,Class B Tavern License,480,,3921353110
5/19/2020,5/7/2019,Milwaukee School of Engineering,Milwaukee School of Engineering,"Darryl L Anderson, Agt",3921305111,1025,N,BROADWAY,,4,1,BTAVN,Class B Tavern License,,NA,3921305111
5/19/2020,5/7/2019,MILWAUKEE SCHOOL OF ENGINEERING,MILWAUKEE SCHOOL OF ENGINEERING,"Darryl L Anderson, Agt",3930431000,1120,N,BROADWAY,,4,1,BTAVN,Class B Tavern License,208,,3930431000
5/19/2020,5/7/2019,MILWAUKEE SCHOOL OF ENGINEERING,MILWAUKEE SCHOOL OF ENGINEERING,"Darryl L Anderson, Agt",3611982000,1245,N,BROADWAY,,3,1,BTAVN,Class B Tavern License,2759,"Foyer - 600, Lounge/Meeting Room - 400, Upper Foyer - 160, Field House - 1533, Hall of Fame Room - 66",3611982000
2/6/2020,1/14/2019,Cuvee Champagne LLC,Cuvee,"KRIS H GORSKI, Agt",3920966000,177,N,BROADWAY,,4,1,BTAVN,Class B Tavern License,244,,3920966000
1/31/2020,1/14/2019,Joy DB LLC,DryBar,"Joy N Vertz, Agt",3920978100,241,N,BROADWAY,,4,1,BTAVN,Class B Tavern License,60,,3920978100
3/1/2020,2/5/2019,"THE WICKED HOP, LLC",THE WICKED HOP,"MILES E O`NEIL, Agt",,343,N,BROADWAY,,4,1,BTAVN,Class B Tavern License,160,,3920994000
6/11/2020,5/29/2019,"First MKD, LLC",Hilton Garden Inn,"Charles R Simmons, Agt",3920670000,611,N,BROADWAY,,4,1,BTAVN,Class B Tavern License,,,3920670000
5/29/2020,5/29/2019,"PRIDE GROCERIES OF MILWAUKEE, LLC",PRIDE FOOD,"ASAD SHARIF, Agt",3501718110,2101,W,BROWN,ST,15,3,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3501718110
4/9/2020,3/26/2019,BROWN STREET FOODS,BROWN STREET FOODS,"MOHAMMED M HASAN, SP",,2485,W,BROWN,ST,15,3,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3501265000
11/24/2020,11/5/2019,"KRAUSE PROPERTIES, LLC",Krause Food Service,"MARK J KRAUSE, Agt",,7001,W,BROWN DEER,RD,9,4,BTAVN,Class B Tavern License,299,,449972100
6/3/2020,6/17/2019,"GMRI, INC",THE OLIVE GARDEN ITALIAN RES #1443,"JENNIFER L MEYER, Agt",420072000,8531,W,BROWN DEER,RD,9,4,BTAVN,Class B Tavern License,300,,420072000
4/10/2020,6/20/2019,Royal Plaza Liquor Inc,Royal Plaza Liquor Inc,"GURMEET K DHILLON, Agt",331262000,8700,W,BROWN DEER,RD,9,4,ALQML,Class A Malt & Class A Liquor License,,,331262000
2/5/2020,1/15/2019,"FAMILY MART, LLC",LIQUOR DEPOT,"VIPAN DUTTA, Agt",,9108,W,BROWN DEER,RD,9,4,ALQML,Class A Malt & Class A Liquor License,,,341161000
7/30/2020,7/9/2019,JING'S CORPORATION,JING'S,"JING WANG, Agt",,207,E,BUFFALO,ST,4,1,BBEER,Class B Fermented Malt Beverage Retailer's License,45,,3920991000
7/30/2020,7/9/2019,JING'S CORPORATION,JING'S,"JING WANG, Agt",,207,E,BUFFALO,ST,4,1,CWINE,Class C Wine Retailer's License,45,,3920991000
3/19/2020,3/27/2019,"Copper Penguin Management Group, LLC",Site 1A,"Aaron Ohlsson, Agt",3920993000,231,E,BUFFALO,ST,4,1,BTAVN,Class B Tavern License,250,,3920993000
5/29/2020,5/7/2019,"BOSCO'S ON BURLEIGH, LLC",BOSCO'S ON BURLEIGH,"LOUIS J FRAGASSI, Agt",2810909100,1000,E,BURLEIGH,ST,3,5,BTAVN,Class B Tavern License,80,,2810909100
10/6/2020,9/25/2019,ACD PRODUCTION INC,TWO,"DONALD R KRAUSE, Agt",2810950000,718,E,BURLEIGH,ST,3,5,BTAVN,Class B Tavern License,25,,2810950000
12/18/2019,12/4/2018,"ACD PRODUCTION, INC",ART BAR CAFE & GALLERY,"DONALD R KRAUSE, Agt",,722,E,BURLEIGH,ST,3,5,BTAVN,Class B Tavern License,217,,2812801000
12/10/2019,11/27/2018,ADAMS FOOD LLC,BURLEIGH FOOD MART,"MUSTAFA T MUSTAFA, Agt",2830586100,1120,W,BURLEIGH,ST,6,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2830586100
6/30/2020,6/18/2019,PEOPLE'S LOUNGE,PEOPLE'S LOUNGE,"MC WILLIE LEWIS, SP",2860478000,3328,W,BURLEIGH,ST,7,7,BTAVN,Class B Tavern License,150,,2860478000
9/15/2020,8/27/2019,SRJEWELL ENTERTAINMENT LLC,42nd Street Bar & Grill,"SHERLISE A JEWELL, Agt",2870542100,4200,W,BURLEIGH,ST,7,7,BTAVN,Class B Tavern License,80,,2870542100
7/27/2020,7/9/2019,"WAZ'S PUB, INC",WAZ'S PUB,"SHELLY R WASMUND, Agt",2880106000,4532,W,BURLEIGH,ST,7,7,BTAVN,Class B Tavern License,65,,2880106000
3/17/2020,3/18/2019,Clark's Beer & Liqour INC.,Clark's Beer & Liquor Mart,"Prakash Navadia, Agt",2880495100,4728,W,BURLEIGH,ST,7,7,ALQML,Class A Malt & Class A Liquor License,,,2880495100
7/25/2020,7/9/2019,"V & T LIQUORS, INC",V & T WINE & LIQUOR,"VICKIE M BROOKS, Agt",2830692000,916,W,BURLEIGH,ST,6,5,ALQML,Class A Malt & Class A Liquor License,,,2830692000
11/12/2020,11/5/2019,EL PARIAN,EL PARIAN,"RICARDO MONTES ALVARADO, SP",4710041000,2901,W,BURNHAM,ST,8,2,BTAVN,Class B Tavern License,60,,4710041000
2/18/2020,2/5/2019,Oscar's Winner's Circle LLC,Oscar's Winner's Circle,"Elisabeth Stoeger, Agt",4570801000,3800,W,BURNHAM,ST,8,2,BTAVN,Class B Tavern License,126,Capacity 86 inside. 40 outside= 126 premises capacity,4570801000
12/14/2019,11/28/2018,Foamation Enterprises LLC,Foamation/Cheesehead Factory,"Ralph J Bruno, Agt",4310502100,1120,S,Barclay,ST,12,2,BTAVN,Class B Tavern License,,,4310502100
7/22/2020,7/9/2019,Giri Corporation,Stone Creek Coffee,"Eric A Resch, Agt",4280257100,158,S,Barclay,ST,12,1,BBEER,Class B Fermented Malt Beverage Retailer's License,149,,4280257100
7/22/2020,7/9/2019,Giri Corporation,Stone Creek Coffee,"Eric A Resch, Agt",4280257100,158,S,Barclay,ST,12,1,CWINE,Class C Wine Retailer's License,,,4280257100
9/4/2020,8/26/2019,"The Original MKE, LLC",The Original,"Eric E Rzepka, Agt",3201102000,2498,N,Bartlett,AV,3,1,BTAVN,Class B Tavern License,99,,3201102000
11/28/2020,11/20/2019,Paul's Liquor LLC,Paul's Liquor,"AGIAPAL SINGH, Agt",4691751000,1600,W,Becher,ST,12,2,ALQML,Class A Malt & Class A Liquor License,,,4691751000
5/29/2020,5/30/2019,Blaine PL Xpress Pantry Inc,Express Pantry,"Gurinder S Nagra, Agt",3059999110,2719,N,Blaine,PL,10,7,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3059999110
7/30/2020,7/9/2019,Story Hill BKC LLC,Story Hill Bottle - Kitchen - Cup,"DANIEL S SIDNER, Agt",4040521000,5100,W,bluemound,RD,10,3,BTAVN,Class B Tavern License,,,4040521000
6/2/2020,5/8/2019,Valdemar 5108 LLC,Fat Valdy's,"Rosa Isela Real Perez, Agt",4040520100,5108,W,bluemound,RD,10,3,BTAVN,Class B Tavern License,,,4040520100
5/26/2020,5/7/2019,DugOut 54 Inc,DugOut 54,"KARLIS A VECITIS, Agt",4040216100,5328,W,bluemound,RD,10,3,BTAVN,Class B Tavern License,689,"600- first floor, 89 - lower level",4040216100
5/24/2020,5/7/2019,Milwaukee Steakhouse LLC,Milwaukee Steakhouse,"KEVIN M NUGENT, Agt",3840271100,6024,W,bluemound,RD,10,3,BTAVN,Class B Tavern License,99,,3840271100
4/15/2020,4/18/2019,Midget Food LLC,Midget Food LLC,"Nizar Y Alkhatib, Agt",3211464000,2500,N,Booth,ST,6,5,ALIQR,Class A Retailer's Intoxicating Liquor License,,,3211464000
4/15/2020,4/18/2019,Midget Food LLC,Midget Food LLC,"Nizar Y Alkhatib, Agt",3211464000,2500,N,Booth,ST,6,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3211464000
1/23/2020,1/31/2019,Sorivilla Inc,Kompali,"KARLOS J SORIANO, Agt",3590618100,1205,E,Brady,ST,3,1,BTAVN,Class B Tavern License,99,,3590618100
6/10/2020,6/12/2019,"Smith Sisters, LLC",Brewed Cafe,"SHEILA M PUFAHL-BETTIN, Agt",3550846000,1208,E,Brady,ST,3,1,BBEER,Class B Fermented Malt Beverage Retailer's License,,,3550846000
6/10/2020,6/12/2019,"Smith Sisters, LLC",Brewed Cafe,"SHEILA M PUFAHL-BETTIN, Agt",3550846000,1208,E,Brady,ST,3,1,CWINE,Class C Wine Retailer's License,,,3550846000
1/29/2020,1/14/2019,Lazy Tiger Group LLC,Easy Tyger Restaurant,"NONGLUK BURANABUNYUT, Agt",3550842100,1230,E,Brady,ST,3,1,BTAVN,Class B Tavern License,,,3550842100
6/15/2020,5/29/2019,Brady 1234 Co,Harry's On Brady,"ELIAS G CHEDID, Agt",3550841000,1234,E,Brady,ST,3,1,BTAVN,Class B Tavern License,,,3550841000
7/16/2020,7/10/2019,La Masa LLC,La Masa,"BRADLEY H TODD, Agt",3551511000,1300,E,Brady,ST,3,1,BTAVN,Class B Tavern License,99,,3551511000
4/25/2020,3/27/2019,JC Capital Dorsia LLC,Dorsia,"JENO J CATALDO, Agt",3591341000,1301,E,Brady,ST,3,1,BTAVN,Class B Tavern License,199,,3591341000
7/1/2020,6/18/2019,"Jack's American Pub, LLC",Jack's American Pub,"SCOTT A SCHAEFER, Agt",3591342000,1323,E,Brady,ST,3,1,BTAVN,Class B Tavern License,240,,3591342000
9/21/2020,9/4/2019,TKCS Brady LLC,The King Crab Shack,"Song T D Tran, Agt",3551511000,1330,E,Brady,ST,3,1,BTAVN,Class B Tavern License,,,3551511000
8/22/2020,7/30/2019,Josh's Fine Dining LLC,Up-Down MKE,"KRISTIAN E SYDOW, Agt",3600045100,615,E,Brady,ST,3,1,BTAVN,Class B Tavern License,,,3600045100
7/25/2020,7/25/2019,Baldwin Trade LLC,The Diplomat,"Dane K Baldwin, Agt",3600312000,815,E,Brady,ST,3,1,BTAVN,Class B Tavern License,,100,3600312000
7/29/2020,8/6/2019,HTWA - Catalano Square,HTWA - Catalano Square,"MICHAEL GARDNER, Agt",3921732000,138,N,Broadway,,4,1,BTAVN,Class B Tavern License,,NA,3921732000
1/17/2020,12/18/2018,Indulge Wine Rooms LLC,Indulge Wine Room,"MARC R BIANCHINI, Agt",3921036100,158,N,Broadway,,4,1,BTAVN,Class B Tavern License,156,,3921036100
2/7/2020,8/7/2019,"Onesto MKE, LLC",Onesto,"David J Marcus, Agt",3920980000,221,N,Broadway,,4,1,BTAVN,Class B Tavern License,288,,3920980000
9/9/2020,9/10/2019,Red Elephant LLC,Nicole's Third Ward Social,"JACOB E DEHNE, Agt",3920996000,333,N,Broadway,,4,1,BTAVN,Class B Tavern License,,,3920996000
5/2/2020,4/16/2019,"Benelux Third Ward, LLC",Cafe Benelux,"ERIC G WAGNER, Agt",3921023000,346,N,Broadway,,4,1,BTAVN,Class B Tavern License,455,,3921023000
6/19/2020,6/17/2019,Jalpa LLC,Conyak Liquor,"BHAVESH B PATEL, Agt",310431000,6828,W,Brown Deer,RD,9,4,ALQML,Class A Malt & Class A Liquor License,,,310431000
12/11/2019,12/12/2018,Retox Martini Lounge LLC,Retox Martini Lounge,"Joyce Hill, Agt",440243110,6901,W,Brown Deer,RD,9,4,BTAVN,Class B Tavern License,199,,440243110
7/9/2020,4/16/2019,Family Foods Corporation,Family Foods,"VIPAN DUTTA, Agt",320083000,8328,W,Brown Deer,RD,9,4,ALQML,Class A Malt & Class A Liquor License,,,320083000
9/21/2020,9/4/2019,Daxa LLC,Brown Deer Beverage,"CHIRAG J PATEL, Agt",330015111,8564,W,Brown Deer,RD,9,4,ALQML,Class A Malt & Class A Liquor License,,,330015111
10/4/2020,9/25/2019,Clutch Corp,Anodyne Coffee Roasting Co.,"Matthew J McClutchy, Agt",4280410100,224,W,Bruce,ST,12,2,BBEER,Class B Fermented Malt Beverage Retailer's License,,,4280410100
10/4/2020,9/25/2019,Clutch Corp,Anodyne Coffee Roasting Co.,"Matthew J McClutchy, Agt",4280410100,224,W,Bruce,ST,12,2,CWINE,Class C Wine Retailer's License,,,4280410100
10/10/2020,10/11/2019,"Rosko Thomas Enterprises, LLC",Press Au Marche,"Aaron Rosko, Agt",3920991000,207,E,Buffalo,ST,4,1,BTAVN,Class B Tavern License,,,3920991000
11/27/2020,11/5/2019,Shake Shack Wisconsin LLC,Shake Shack,"ARI B DOMNITZ, Agt",3970511000,220,E,Buffalo,ST,4,1,BBEER,Class B Fermented Malt Beverage Retailer's License,,,3970511000
11/27/2019,11/5/2018,Shake Shack Wisconsin LLC,Shake Shack,"ARI B DOMNITZ, Agt",3970511000,220,E,Buffalo,ST,4,1,BBEER,Class B Fermented Malt Beverage Retailer's License,,,3970511000
11/27/2020,11/5/2019,Shake Shack Wisconsin LLC,Shake Shack,"ARI B DOMNITZ, Agt",3970511000,220,E,Buffalo,ST,4,1,CWINE,Class C Wine Retailer's License,,,3970511000
11/27/2019,11/6/2018,Shake Shack Wisconsin LLC,Shake Shack,"ARI B DOMNITZ, Agt",3970511000,220,E,Buffalo,ST,4,1,CWINE,Class C Wine Retailer's License,,,3970511000
10/14/2020,10/15/2019,The Hudson Business Lounge LLC,The Hudson Business Lounge,"Nicholas G Schultz, Agt",3960032000,310,E,Buffalo,ST,4,1,BTAVN,Class B Tavern License,,,3960032000
1/12/2020,12/18/2018,Science and Fun LLC,Save Milwaukee,"Shlomo Levin, Agt",,207,E,Buffalo,,4,1,BBEER,Class B Fermented Malt Beverage Retailer's License,,,0
12/17/2019,11/27/2018,"Sadeel, LLC",Full House Grocery,"Jafar Jaraba, Agt",2890367000,5602,W,Burleigh,ST,10,7,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2890367000
8/23/2020,7/30/2019,Gard's Restaurant & Lounge,Gard's Restaurant & Lounge,"DENISE M FONDER, SP",2919995000,7170,W,Burleigh,ST,10,7,BTAVN,Class B Tavern License,80,,2919995000
9/26/2020,9/4/2019,Acosta Restaurant LLC,El Tlaxcalteca Restaurant,"Evaristo Acosta Pena, Agt",4600115110,1300,W,Burnham,ST,12,2,BTAVN,Class B Tavern License,,,4600115110
4/21/2020,4/16/2019,"Starlite Beer & Food, Inc.",Starlite Food,"GURMUKH SINGH, Agt",4700518000,2013,W,Burnham,ST,8,2,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4700518000
5/21/2020,5/9/2019,Twisted Fisherman LLC,Twisted Fisherman Crab Shack,"RUSSELL R DAVIS, Agt",3981212110,1200,W,CANAL,ST,12,3,BTAVN,Class B Tavern License,99,,3981212110
11/8/2020,9/24/2019,FOREST COUNTY POTAWATOMI COMMUNITY,POTAWATOMI BINGO CASINO/ POTAWATOMI HOTEL,"William D Sally, Agt",,1611,W,CANAL,ST,8,3,BTAVN,Class B Tavern License,,2555 (?),4260111000
5/19/2020,5/7/2019,Levy Restaurants at Harley Davidson,Levy Restaurants at Harley Davidson,"Dave Kash, Agt",3970001113,401,W,CANAL,ST,12,3,BTAVN,Class B Tavern License,690,"250 - Restaurant, 440 - Special Events Room",3970001113
5/25/2020,5/7/2019,OUTPOST NATURAL FOODS COOPERATIVE,OUTPOST NATURAL FOODS,"EDWARD J SENGER, Agt",2420401000,100,E,CAPITOL,DR,6,5,ALQML,Class A Malt & Class A Liquor License,,,2420401000
11/8/2020,11/7/2019,BIG MANS PLACE,BIG MANS PLACE,"JAMES BANKS, SP",2440491000,1932,W,CAPITOL,DR,1,5,BTAVN,Class B Tavern License,76,,2440491000
6/30/2020,6/18/2019,"DRAKE, INC",TEUTONIA WINE & LIQUOR,"BRYAN DRAKE, Agt",,2232,W,CAPITOL,DR,1,5,ALQML,Class A Malt & Class A Liquor License,,,2450211000
6/30/2020,6/20/2019,DALE'S,DALE'S,"DALE L MIDDLEMAN, SP",,6132,W,CAPITOL,DR,2,7,BTAVN,Class B Tavern License,80,,2500318000
4/10/2020,3/26/2019,"CAPITOL LIQUOR & BEER, INC",CAPITOL LIQUOR & BEER,"SURJAN S KAMAL, Agt",2510190000,7308,W,CAPITOL,DR,2,7,ALQML,Class A Malt & Class A Liquor License,,,2510190000
2/25/2020,6/13/2019,"MYKONOS ON CAPITOL, LLC",MYKONOS RESTAURANT,"KOSTAS S TOURLOUKIS, Agt",2629989000,8501,W,CAPITOL,DR,5,7,BTAVN,Class B Tavern License,225,,2629989000
9/26/2020,9/4/2019,"SPDK, INC",SUNRISE LIQUOR AND GIFTS,"Kamlesh M Patel, Agt",2540685100,9330,W,CAPITOL,DR,5,7,ALQML,Class A Malt & Class A Liquor License,,,2540685100
11/24/2019,11/6/2018,"JCTH, INC",CAFE AT THE PLAZA,"BENJAMIN T CRICHTON, Agt",3921593000,1007,N,CASS,ST,4,1,BTAVN,Class B Tavern License,,NA,3921593000
11/24/2020,11/5/2019,"JCTH, INC",CAFE AT THE PLAZA,"BENJAMIN T CRICHTON, Agt",3921593000,1007,N,CASS,ST,4,1,BTAVN,Class B Tavern License,,NA,3921593000
7/30/2020,7/9/2019,"BUCKLEY'S KISKEAM INN, LLC",Buckley's,"MICHAEL V BUCKLEY, Agt",,801,N,CASS,ST,4,1,BTAVN,Class B Tavern License,65,,3931011000
2/13/2020,2/15/2019,UPTOWNER,UPTOWNER,"STEPHEN A JOHNSON, SP",,1032,E,CENTER,ST,3,5,BTAVN,Class B Tavern License,99,,3140003000
11/26/2019,11/5/2018,Loves Supermarket II LLC,Loves Supermarket,"HARJINDER S BRAICH, Agt",3211804110,418,E,CENTER,ST,6,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3211804110
11/26/2020,11/6/2019,Loves Supermarket II LLC,Loves Supermarket,"HARJINDER S BRAICH, Agt",3211804110,418,E,CENTER,ST,6,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3211804110
12/20/2019,12/6/2018,"KISMAYO, LLC",CLUB TIMBUKTU,"YOUSSOUF KOMARA, Agt",3211788000,520,E,CENTER,ST,6,5,BTAVN,Class B Tavern License,160,,3211788000
10/11/2020,9/24/2019,"TWO PS IN A POD, INC",CENTRO CAFE,"MARGARET M KARPFINGER, Agt",3140039000,808,E,CENTER,ST,3,5,BTAVN,Class B Tavern License,40,,3140039000
9/28/2020,9/4/2019,"FUEL CAFE, INC",FUEL CAFE,"SCOTT M JOHNSON, Agt",3140037000,818,E,CENTER,ST,3,5,BTAVN,Class B Tavern License,49,,3140037000
6/30/2020,6/18/2019,"METRO ENTERPRISES, INC",QUARTERS,"DANIEL FISCHER, Agt",3140024000,900,E,CENTER,ST,3,5,BTAVN,Class B Tavern License,80,,3140024000
3/18/2020,3/19/2019,ALETA'S LIQUOR,ALETA'S LIQUOR,"ALETA M PARKER, SP",3242425100,1525,W,CENTER,ST,15,3,ALQML,Class A Malt & Class A Liquor License,,,3242425100
6/15/2020,9/17/2019,"HARMEET, LLC",MID CITY LIQUOR,"Harpreet Singh, Agt",3240921100,1935,W,CENTER,ST,15,3,ALQML,Class A Malt & Class A Liquor License,,,3240921100
5/4/2020,5/2/2019,"NAT LIQUOR & FOOD MART, INC",S & A LIQUOR,"MAMTA SINGH, Agt",,3725,W,CENTER,ST,15,3,ALQML,Class A Malt & Class A Liquor License,,,3271583000
12/27/2019,12/19/2018,QUICK FOOD MARKET,QUICK FOOD MARKET,"BALJEET KAUR,Raghwinder Singh",3271082100,3833,W,CENTER,ST,15,3,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3271082100
12/30/2019,12/18/2018,"K & O INVESTMENTS, LLC",Jay's Uptown Cafe,"ODEAN H TAYLOR, Agt",,5007,W,CENTER,ST,15,3,BTAVN,Class B Tavern License,99,,3280335000
5/13/2020,5/1/2019,TWISTERS INN,TWISTERS INN,"MILEY HOWARD, SP",3130912100,508,W,CENTER,ST,6,5,BTAVN,Class B Tavern License,100,,3130912100
11/24/2019,12/5/2018,"JALISCO RESTAURANT, LLC",JALISCO RESTAURANT,"CARLOS E CASERES, Agt",,1035,S,CESAR E CHAVEZ,DR,12,2,BTAVN,Class B Tavern License,128,,4331792000
11/24/2020,11/5/2019,"JALISCO RESTAURANT, LLC",JALISCO RESTAURANT,"CARLOS E CASERES, Agt",,1035,S,CESAR E CHAVEZ,DR,12,2,BTAVN,Class B Tavern License,128,,4331792000
12/20/2019,11/28/2018,"APPLE TWO, LLC",EL CHARRO LIQUOR STORE,"VIKRAMJIT SINGH, Agt",4331819110,1207,S,CESAR E CHAVEZ,DR,12,2,ALQML,Class A Malt & Class A Liquor License,,,4331819110
4/29/2020,5/7/2019,Mariscos El Abuelo y Yo LLC,Mariscos El Abuelo y Yo,"Diego A Pulido, Agt",4332204000,1234,S,CESAR E CHAVEZ,DR,12,2,BTAVN,Class B Tavern License,,,4332204000
10/23/2020,10/15/2019,Century Beverage Group LLC,Don Julio's,"Maria J Ramirez, Agt",4601453000,1537,S,CESAR E CHAVEZ,DR,12,2,BTAVN,Class B Tavern License,80,,4601453000
10/13/2020,9/24/2019,"NATIONAL MUFFLER & FOOD MART, INC",NATIONAL LIQUOR MART,"HUSSEIN P GOVANI, Agt",,719,S,CESAR E CHAVEZ,DR,12,2,ALQML,Class A Malt & Class A Liquor License,,,4332262000
11/14/2020,11/15/2019,Affiliate Group LLC,Tycoon Sports Bar & Grill,"Ronnie P Tillman, Agt",4332262000,721,S,CESAR E CHAVEZ,DR,12,2,BTAVN,Class B Tavern License,299,,4332262000
5/3/2020,5/7/2019,"J & E GROCERY STORE, LLC",LA HACIENDA,"Jose Zaragoza, Agt",,820,S,CESAR E CHAVEZ,DR,12,2,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4331419100
6/30/2020,6/18/2019,"EL REY SPIRITS, INC","EL REY SPIRITS, INC","ERNESTO VILLARREAL, Agt",4332241000,916,S,CESAR E CHAVEZ,DR,12,2,ALQML,Class A Malt & Class A Liquor License,,,4332241000
9/18/2020,9/19/2019,"DINO'S DISTRIBUTING, LTD",Dino's Riverwest,"Anthony Lococo, Agt",2811004100,808,E,CHAMBERS,ST,3,5,BTAVN,Class B Tavern License,80,,2811004100
10/12/2020,10/8/2019,CIRCLE A,CIRCLE A,"JENNIFER A MUELLER, SP",2811024100,932,E,CHAMBERS,ST,3,5,BTAVN,Class B Tavern License,49,"1st floor = 49, outdoor beer garden = 31",2811024100
5/28/2020,5/29/2019,Chase Entertainment LLC,Sam's Tap,"Sam J Leaf, Agt",5380601000,3118,S,CHASE,AV,14,6,BTAVN,Class B Tavern License,37,,5380601000
12/10/2019,11/27/2018,"ILLUMINATI, LLC",BREMEN CAFE,"DAVID A KOPP, Agt",3210537000,901,E,CLARKE,ST,3,5,BTAVN,Class B Tavern License,80,,3210537000
2/9/2020,1/14/2019,"F10 RESTAURANTS, INC",TENUTA'S ITALIAN RESTAURANT,"FRANK L TENUTA, Agt",,2995,S,CLEMENT,AV,14,6,BTAVN,Class B Tavern License,60,,5040849000
6/29/2020,6/18/2019,"SWIGS PUB & GRILL, LLC",SWIGS PUB & GRILL,"THERESA M BROWN, Agt",5390705100,3143,S,CLEMENT,AV,14,6,BTAVN,Class B Tavern License,50,,5390705100
7/5/2020,6/20/2019,"DC Connection, LLC",DC's Mad House,"CHERYL M KOLLATH, Agt",5390902000,3423,S,CLEMENT,AV,14,6,BTAVN,Class B Tavern License,25,,5390902000
4/1/2020,10/16/2019,"CM FOOD MART, LLC",MINI MARKET,"LAKHWINDER SINGH, Agt",5470701100,3600,S,CLEMENT,AV,14,6,ALQML,Class A Malt & Class A Liquor License,,,5470701100
5/30/2020,5/29/2019,VALUE MANAGEMENT CORP,BACKDRAUGHT,"TERRY D LUCAS, Agt",5470227000,3631,S,CLEMENT,AV,14,6,BTAVN,Class B Tavern License,80,,5470227000
11/27/2019,11/28/2018,"TIEDKE, INC",SCOTTY'S BAR & PIZZA,"GARY A TIEDKE, Agt",5821203000,3921,S,CLEMENT,AV,14,6,BTAVN,Class B Tavern License,99,,5821203000
11/27/2020,11/6/2019,"TIEDKE, INC",SCOTTY'S BAR & PIZZA,"GARY A TIEDKE, Agt",5821203000,3921,S,CLEMENT,AV,14,6,BTAVN,Class B Tavern License,99,,5821203000
6/30/2020,6/18/2019,"DRINKMASTERS, INC",MARK'S SPORTS PUB,"MARK A SCHWEBKE, Agt",5829930000,4035,S,CLEMENT,AV,14,6,BTAVN,Class B Tavern License,156,,5829930000
9/30/2020,9/4/2019,"PITCH'S CLUB 113 #2, INC",MISS KATIE'S DINER,"PETER S PICCIURRO, Agt",3980687100,1900,W,CLYBOURN,ST,4,3,BTAVN,Class B Tavern License,144,,3980687100
7/25/2020,7/15/2019,"CLYBOURN SUPERMARKET, LLC",MILWAUKEE FOODS,"Jalpaben B Patel, Agt",,2903,W,CLYBOURN,ST,4,3,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4011064100
